code,dept,number,name,credits,semester,prereqs,description
ACC2000,ACC,2000,Accounting Principles I,3.0,"Fall, Spring",,"Introduction to basic principles, concepts, and theoretical  framework of financial accounting with the emphasis on its  use by economically rational decision makers. Topics  include the decision-making environment and the accounting  cycles, processes, and statements."
ACC2100,ACC,2100,Accounting Principles II,3.0,"Fall, Spring",ACC2000,"Emphasizes the role of accounting information within a  firm. Topics include budgeting, responsibility accounting,  cost allocations, cost behavior, decision models, capital  budgeting, and an introduction to product costing in  manufacturing and service sector firms."
ACC3000,ACC,3000,Intermediate Accounting I,3.0,Fall,ACC2000,"Studies the theory, concepts, and practices underlying  financial reporting and measurement. Primary focus is on  income measurement, and the valuation of assets, like cash,  receivables, inventory, and long-lived assets, as well as  multinational issues."
ACC3100,ACC,3100,Intermediate Accounting II,3.0,Spring,ACC3000 and FIN3000(C),"A continuation of ACC 3000 with theories, concepts, and practices underlying financial measurement and reporting.  Focuses on the measurement and reporting of liabilities and  equities, and includes multinational issues."
ACC3500,ACC,3500,Managerial/Cost Accounting I,3.0,Spring,ACC2100,"The primary emphasis is on  traditional and contemporary product costing techniques, cost allocation practices, and basic cost-management issues.  Topics include process costing, standard costing, activity-based costing, backflush costing, cost allocation issues, balanced scorecard, strategic profitability analysis, and the role of accounting in contemporary management practices."
ACC3600,ACC,3600,Foundations of Taxation,3.0,Fall,ACC2000,"Introduction to basic principles, concepts, and theoretical  framework of taxation systems, emphasizing income taxation  and its impact on decision making. Topics include tax  planning and compliance for individuals, corporations, and  partnerships."
ACC4000,ACC,4000,Accounting Data Analytics,3.0,Fall,ACC2000 and ACC3000(C),"Develop knowledge and competencies in data analytic techniques to generate accounting information used for business intelligence. Applied exercises with software tools are used to cover topics including data preparation, analysis, visualization, and scenario analysis."
ACC4100,ACC,4100,Audit and Assurance,3.0,Fall,ACC3000 or ACC5050,"Auditing procedures and techniques associated with public  accounting and with internal auditing for business  entities. Topics include auditor's responsibilities,  professional ethics, generally accepted auditing standards,  purpose and types of audits, objectives, internal control, evidence, organization within the public accounting  profession, the audit program, and auditing procedures and  techniques."
ACC4200,ACC,4200,Advanced Accounting,3.0,Spring,ACC3100,"The theory and practice of financial accounting and reporting pertaining to business combinations and consolidated financial statements, foreign operations, and complex financial instruments statement translations, and other advanced accounting topics."
ACC4500,ACC,4500,Managerial/Cost Accounting II,3.0,On Demand,ACC3500,"Emphasizes information requirements of contemporary management decision-making and strategic-planning processes.  Covers contemporary control and evaluation practices (such as activity-based management), determining the costs of quality, and productivity analysis in the context of accounting information systems."
ACC4600,ACC,4600,Advanced Tax Topics,3.0,On Demand,ACC3600,"Continuation of ACC3600. Introduction to advanced principles and concepts of taxation, emphasizing  income taxation and  its impact on decision making. Topics include tax planning  and compliance for estates and trusts, gratuitous transfers, multi-jurisdictional operations, and entity formations, liquidations, and reorganizations."
ACC4700,ACC,4700,Governmental and Not-for-Profit Accounting,3.0,Spring,ACC3000,An in-depth study of the accounting principles and financial reporting unique to the governmental and not-for-profit sectors of the U.S. economy.
ACC4800,ACC,4800,Accounting Systems,3.0,Fall,ACC2100 or ACC5050,"Introduction to the basic principles, concepts, and  theoretical framework for the design and operation of  accounting information systems, emphasizing its use to  enhance decision making. Topics include system design,  internal controls, the use of databases, and electronic  commerce."
ACC4990,ACC,4990,Special Topics in Accounting,var,On Demand,ACC3000,Examines current issues in Accounting and other topics of interest to faculty and students in greater depth.
AE2500,AE,2500,Principles of Aerospace Engineering,3.0,Fall,ENG1102,"Introductory course covering the principles of aerospace engineering. Topics include principles of flight, rocketry and propulsion, space mechanics, aerospace materials, introduction to jet engines, basics of space environment and thermal management in space."
AE2550,AE,2550,Space Environment &amp; Operation,3.0,Spring,ENG1102 and PH2200,"Introductory course on space environment and operations. Topics include, planetary and space environments, space mission operational aspects and consideration of space and planetary environment. Basics of spacecraft functionality and design considerations will be discussed in the various operational environments."
AE3501,AE,3501,Aerospace Systems Engineering Practice,3.0,Fall,ME2150 and ME2700 and ME2911(C) and AE2500 and AE2550,"This course will introduce Aerospace Systems Engineering. Topics covered include requirement flow-down, validation and verification methods, operations, FMEA, risk mapping, interface control definitions, design reviews, project phases and life cycle, documentation, traceability and application of standards."
AE3511,AE,3511,Spacecraft Engineering Practice,3.0,Spring,AE3501,"Students will learn processes and concepts necessary to design, build, and integrate spacecraft components into a vehicle while reinforcing fundamental mechanics, dynamics, and thermal concepts through laboratory testing based on Space industry standard testing processes, such as Test Like You Fly philosophy."
AE3520,AE,3520,Aerodynamics,4.0,Fall,AE2500 and MA3160 and (ME2911 or MEEM2911),"This course addresses the fluid dynamics of gases and convection heat transfer around the aircraft and through propulsion systems. Potential flow, boundary layer, characteristics of laminar and turbulent flows, wall friction, Reynolds analogy, convection heat transfer, and introductory discussion of aircraft dynamics, stability, and control."
AE4530,AE,4530,Compressible Flow,3.0,Spring,AE3520 or MEEM3201 or ME3201,"Fundamentals of one-dimensional gas dynamics, including flow in nozzles and diffusers, normal shocks, frictional flows, and flows with heat transfer or energy release; introduction to oblique shocks."
AE4540,AE,4540,Aerospace Propulsion,4.0,Spring,(AE3520 and AE4530) or MEEM3201 or ME3201,"Course covers principles of jet propulsion, cycle analysis and analysis of non-rotating components and turbomachinery. Also covered are principles of rocket propulsion, propellants, and electrified aircraft propulsion."
AE4550,AE,4550,Spacecraft Thermal Engineering,3.0,Fall,AE3520 and AE3511,This course covers fundamentals of heat transfer with applications to spacecraft thermal control. Heat transfer topics focus on steady and transient heat conductions (1D and 2D) as well as single and multiple surface radiation. Passive and active thermal control components along with simulation are used to demonstrate thermal management.
AE4560,AE,4560,Aerospace Materials &amp; Structures,3.0,Fall,AE2550 and (ME2150 or MEEM2150),"Course covers the mechanical behavior of materials and structures used in aeronautical and space vehicles. The fundamentals of lightweight alloys and composite materials will be covered, including failure and durability. Structural behavior of thin-walled structures, including torsion, warping, bending, and buckling will be covered."
AE4570,AE,4570,Space Mechanics,3.0,Fall,MEEM2700 or ME2700,"This course presents the vector-based solution of the two-body problem and the solution for Kepler's equations. The course will also cover basic orbit determination techniques, impulsive orbit transfer maneuvers, interplanetary trajectories, ground tracks, and rendezvous problems."
AE4580,AE,4580,Spacecraft Dynamics &amp; Control (SD&amp;C),3.0,Spring,AE4570(C) and (MEEM3750 or ME3750),"This course covers spacecraft kinematics, dynamics, stability and control including actuation and sensing techniques. Simulation-based analysis is introduced to illustrate concepts and connect theory to practice."
AF0230,AF,0230,Precision Drill Team,1.0,"Fall, Spring",,"Techniques and skills involved in precision drill movements, including marching, rifle spinning, ceremonial saber handling, and color guard performance. Each student must have or purchase an appropriate drill-team uniform. Non-cadets are required to provide a uniform cleaning deposit and purchase some non-returnable uniform items."
AF1001,AF,1001,US Air Force Heritage and Values I,1.0,Fall,,"Introduction to the USAF and ROTC. Topics include Air Force mission and organization, officership,  professionalism, military customs and courtesies, officer  opportunities, and communication skills. Leadership  Laboratory is mandatory for AFROTC cadets and provides cadets with followership experiences."
AF1002,AF,1002,US Air Force Heritage and Values II,1.0,Spring,,"Introduces students to the USAF and ROTC. Topics include Air Force operations and installations, evolution of USAF, principles of war and tenets of Airpower, ethical decision making under pressure and what our Air Force 'brings to the fight'. Leadership lab is mandatory for AFROTC cadets and provides cadet with followership and leadership experiences."
AF1120,AF,1120,Physical Conditioning,1.0,"Fall, Spring",,Activities that promote physical conditioning.  Emphasis is on individual conditioning through strength and aerobic training and team sports such as ultimate frisbee and football. May be used once as a general education co-curricular course. Sports physical required prior to start of class (contact instructor for details).
AF1340,AF,1340,Field Training,1.0,Summer,AF2002,"A rigorous program of physical conditioning, team activities, and survival training. Offered the summer semester after acceptance into the Field Training program. Course completed off campus."
AF2001,AF,2001,Team and Leadership Fundamentals I,1.0,Fall,,"Introduction to team building and leadership development. Topics include effective listening, followership, and problem solving and motivation techniques for creating a successful workplace."
AF2002,AF,2002,Team and Leadership Fundamentals II,1.0,Spring,AF2001,"Advanced concepts for developing team and leadership abilities. Topics include human relations, conflict management, stress management and resiliency and the importance of ethical decision making in the workplace."
AF3001,AF,3001,Leading People and Effective Communication I,3.0,Fall,UN1015,"Study and practice of leadership in civilian and military organizations, with emphasis on development of effective oral and wirtten communication. Topics include Air Force leader development, effective supervision, diversity, cross-cultural competence and ethics. The course includes discussion, informal lecture, case studies, self-evaluation of leadership traits, and experiential exercises."
AF3002,AF,3002,Leading People and Effective Communication II,3.0,Spring,,"Study of leadership in civilian and military institutions. Topics include leadership theory, mentoring, feedback, organizational climate, and professionalism. The course includes discussion, informal lecture, case studies, and experiental exercises."
AF4001,AF,4001,National Security/Leadership Responsibilities/Commissioning Preparation I,3.0,Fall,,"This course is designed to develop an understanding of the nature of conflict and how the United States military forces are developed, organized, and employed. Topics include the need for national security, the evolution and formulation of American defense policy and strategy, the origins of regional security issues, cross cultural competence, and joint doctrine."
AF4002,AF,4002,National Security/Leadership Responsibilities/Commissioning Preparation II,3.0,Spring,,"This course examines selected roles of the military in society, unconventional warfare, current issues affecting the military profession, and the military justice system. Special topics of interest focus on information warfare, the law of armed conflict, the military as a profession, and officership."
AR1001,AR,1001,Introduction to the Army and Critical Thinking,1.0,Fall,,"Introduces cadets to the competencies that are critical for effective leadership.  Cadets learn how the personal development of ""life skills"" such as critical thinking, time management, goal setting, stress management, and comprehensive fitness relate to the Army profession."
AR1003,AR,1003,Leadership and Competence,1.0,Spring,,Introduces Cadets to the competencies that are critical for adaptive leadership. Cadets learn the basics of the communication process and the importance of developing the essential skills to effectively communicate in the Army. Students will examine the Army profession in depth.
AR1011,AR,1011,Basic Leadership Lab I,1.0,Fall,,"Practicum in basic military topics such as drill and ceremony, emergency preparedness, survival skills, and military communication. This course will require 4 days, 3 nights training at Fort MCoy in late September."
AR1012,AR,1012,Basic Leadership Lab II,1.0,Spring,,"Practicum in basic military topics such as first aid, teambuilding, orienteering, profession of arms, and ethics in problem solving. This course will require 4 days, 3 nights, training at Fort MCoy in April and 1 Saturday in March."
AR2001,AR,2001,Leadership and Ethics,2.0,Fall,,"Explores the dimensions of creative tactical leadership styles by examining team dynamics and historical leadership theories that form the basis of the Army leadership framework. Aspects of motivation and team building are practiced through planning, executing, and assessing team exercises"
AR2002,AR,2002,Army Doctrine and Decision Making,2.0,Spring,,"Examines the challenges of leading teams in complex operational environments. The course highlights terrain analysis, patrolling, and operation orders. Cadets develop greater self-awareness as they assess their own leadership styles and practice communication and team building skills."
AR2011,AR,2011,Intermediate Leadership Lab I,1.0,Fall,,"Practicum in basic military topics, such as drill and ceremony, emergency preparedness, survival skills, and military communication. This course will require 4 days, 3 nights, training at Fort McCoy in late September."
AR2012,AR,2012,Intermediate Leadership Lab II,1.0,Spring,,"Practicum in basic military topics, such as first aid, teambuilding, orienteering, profession of arms, and ethics in problem solving. This course will require 4 days, 3 nights, training at Fort McCoy in April and 1 Saturday in March."
AR2068,AR,2068,Fall Military Physical Conditioning,1.0,"Fall, Summer",,"Develops physical fitness, personal confidence, self-esteem and military skills. Students are exposed to both individual and group physical fitness procedures and techniques. Emphasis is on developing a good fitness program for each individual student."
AR2069,AR,2069,Spring Military Physical Conditioning,1.0,Spring,,"Develops physical fitness, personal confidence, self-esteem and military skills. Students are exposed to both individual and group physical fitness procedures and techniques. Emphasis is on developing a good fitness program for each individual student."
AR3001,AR,3001,Warfighting Functions,2.0,Fall,,"Teaches cadets to plan, coordinate, navigate, motivate, and lead a squad and platoon in the execution of mission during a classroom PE, a leadership lab, or during a leader training course."
AR3002,AR,3002,Leadership and Operations,2.0,Spring,AR3001,"Cadets will study, practice, and apply the fundamentals of Army leadership, officership, Army value and ethics, personal development, and small unit tactics at the platoon level."
AR3011,AR,3011,Advanced Leadership Lab I,1.0,Fall,,"Practicum in basic military topics, such as drill and ceremony, emergency preparedness, survival skills, and military communication. This course will require 4 days, 3 nights, training at Fort McCoy in late September."
AR3012,AR,3012,Advanced Leadership Lab II,1.0,Spring,AR3011,"Practicum in basic military topics, such as first aid, teambuilding, orienteering, profession of arms, and ethics in problem solving. This course will require 4 days, 3 nights, training at Fort McCoy in April and 1 Saturday in March."
AR3068,AR,3068,Military Physical Leadership I,1.0,Fall,AR2068 and AR2069,"Develops a cadet's leadership abilities to design, implement, and assess a platoon level Army physical training program.  Cadets learn the basic leadership of designing and developing a physical conditioning program."
AR3069,AR,3069,Military Physical Leadership II,1.0,Spring,AR3068,"Develops a cadet's leadership abilities to design, implement, and assess a platoon level Army physical training program.  Cadets improve their small group's level of physical conditioning while honing their own leadership skills."
AR4001,AR,4001,Mission Command I and the Army Profession,2.0,"Fall, Spring",AR3001 and AR3002,Completes the Cadet to commissioned officer transition. Course stresses mission command and ethics to assist the Cadet in further embracing their role as an Army officer.
AR4004,AR,4004,Mission Command II and the Company Grade Officer,2.0,Spring,AR3001 and AR3002,"Course will teach critical knowledge, skills, abilities, and competencies that newly commissioned officers will need to succeed in their first unit of assignment. Cadets will examine the Army profession in depth."
AR4011,AR,4011,Battalion Staff Operations I,1.0,Fall,,"Develops personal confidence and advanced leadership ability using basic and advanced military skills. Students are given responsibility for planning and controlling the activities of the cadet battalion. Applied creativity, problem solving, decision making, and leadership are the cornerstones of this course. This course will require 4 days, 3 nights, training at Fort McCoy in late September."
